stripped_title,faction_code,rating,faction_cost,keywords,stripped_text,rarity
Cell Portal,jinteki,1168.0,2,Code Gate - Deflector,Subroutine The Runner moves to the outermost position of the attacked server. They may jack out. Derez this ice.,Trash
Chum,jinteki,1379.0,1,Code Gate,"Subroutine The next piece of ice the Runner encounters during this run gets +2 strength. When that encounter ends, if the Runner did not fully break that ice, do 3 net damage.",Common
Data Mine,jinteki,1303.0,2,Trap - AP,Subroutine Do 1 net damage. Trash Data Mine.,Trash
Matrix Analyzer,nbn,1281.0,2,Sentry - Tracer - Observer,"When the Runner encounters Matrix Analyzer, you may pay 1 credit to place 1 advancement token on a card that can be advanced. Subroutine Trace[2]. If successful, give the Runner 1 tag.",Trash
Janus 1.0,haas-bioroid,1393.0,3,Sentry - Bioroid - AP,Lose click: Break 1 subroutine on this ice. Only the Runner can use this ability. Subroutine Do 1 core damage. Subroutine Do 1 core damage. Subroutine Do 1 core damage. Subroutine Do 1 core damage.,Faction Common
Snowflake,jinteki,1289.0,2,Barrier - Psi,"Subroutine You and the Runner secretly spend 0 credits, 1 credit, or 2 credits. Reveal spent credits. End the run if you and the Runner spent a different number of credits.",Trash
TMI,nbn,1290.0,1,Barrier,"When you rez TMI, Trace[2]. If unsuccessful, derez TMI. Subroutine End the run.",Trash
Draco,neutral-corp,1274.0,0,Sentry - Tracer,"When you rez Draco, you may pay X credits to place X power counters on it. Draco has +1 strength for each power counter on it. Subroutine Trace[2]. If successful, give the Runner 1 tag and end the run.",Trash
Sherlock 1.0,haas-bioroid,1258.0,2,Sentry - Bioroid - Tracer,"Lose click: Break 1 subroutine on this ice. Only the Runner can use this ability. Subroutine Trace[4]. If successful, add 1 installed program to the top of the Runner's stack. Subroutine Trace[4]. If successful, add 1 installed program to the top of the Runner's stack.",Trash
Sensei,jinteki,1173.0,1,Code Gate,"Subroutine For the remainder of this run, each piece of ice encountered except Sensei gains ""Subroutine End the run"" after all its other subroutines.",Trash
Viper,haas-bioroid,1521.0,1,Code Gate - Tracer,"Subroutine Trace[3]. If successful, the Runner loses click, if able. Subroutine Trace[3]. If successful, end the run.",Faction Common
Woodcutter,weyland-consortium,1071.0,3,Sentry - AP,"Woodcutter can be advanced only while rezzed and gains ""Subroutine Do 1 net damage."" for each advancement token on it.",Trash
Chimera,neutral-corp,1452.0,0,Mythic,"When you rez Chimera, choose sentry, code gate, or barrier. Chimera gains that subtype until derezzed. When a turn ends, derez Chimera. Subroutine End the run.",Common
Hourglass,haas-bioroid,1331.0,2,Code Gate,"Subroutine The Runner loses click, if able. Subroutine The Runner loses click, if able. Subroutine The Runner loses click, if able.",Trash
Bullfrog,jinteki,1206.0,2,Code Gate - Deflector - Psi,"Subroutine You and the Runner secretly spend 0 credits, 1 credit or 2 credits. Reveal spent credits. If you and the Runner spent a different number of credits and this ice is installed, move this ice to the outermost position protecting another server. (The run continues from this new position.)",Trash
Uroboros,nbn,1291.0,2,Sentry - Tracer,"Subroutine Trace[4]. If successful, the Runner cannot make another run this turn. Subroutine Trace[4]. If successful, end the run.",Trash
Tyrant,weyland-consortium,1079.0,2,Barrier,"Tyrant can be advanced only while rezzed and gains ""Subroutine End the run."" for each advancement token on it.",Trash
Data Hound,nbn,1206.0,1,Sentry - Tracer - Observer,"Subroutine Trace[2]. If successful, look at the top X cards of the stack, where X is equal to the amount by which your trace strength exceeded the Runner's link strength. Trash 1 of those cards and arrange the rest in any order.",Trash
Salvage,weyland-consortium,1028.0,2,Code Gate - Tracer,"Salvage can be advanced only while rezzed and gains Subroutine Trace[2]. If successful, give the Runner 1 tag. for each advancement token on it.",Trash
Burke Bugs,weyland-consortium,1080.0,1,Sentry - Destroyer,"Subroutine Trace[0]. If successful, the Runner trashes 1 program.",Trash
Heimdall 2.0,haas-bioroid,1374.0,3,Barrier - Bioroid - AP,Lose click click: Break up to 2 subroutines on this ice. Only the Runner can use this ability. Subroutine Do 1 core damage. Subroutine Do 1 core damage and end the run. Subroutine End the run.,Faction Common
Howler,haas-bioroid,1197.0,1,Trap,"Subroutine You may install and rez a piece of bioroid ice from HQ or Archives, ignoring all costs, placing it directly behind Howler. If you do, derez that piece of ice and trash Howler after the run is completed.",Trash
Ichi 2.0,haas-bioroid,1498.0,3,Sentry - Bioroid - Destroyer - Tracer,"Lose click click: Break up to 2 subroutines on this ice. Only the Runner can use this ability. Subroutine Trash 1 installed program. Subroutine Trash 1 installed program. Subroutine Trace[3]. If successful, do 1 core damage and give the Runner 1 tag.",Faction Common
Minelayer,haas-bioroid,1146.0,1,Code Gate,"Subroutine You may install a piece of ice from HQ as the outermost piece of ice protecting this server, ignoring all install costs.",Trash
Viktor 2.0,haas-bioroid,1378.0,3,Code Gate - Bioroid - Tracer - AP,"Lose click click: Break up to 2 subroutines on this ice. Only the Runner can use this ability. Hosted power counter: Do 1 core damage. Subroutine Trace[2]. If successful, place 1 power counter on this ice. Subroutine End the run.",Faction Common
Zed 1.0,haas-bioroid,1099.0,2,Sentry - Bioroid - AP,"Lose click: Break 1 subroutine on this ice. Only the Runner can use this ability. Subroutine If the Runner has lost click to break a subroutine during this run, do 1 core damage. Subroutine If the Runner has lost click to break a subroutine during this run, do 1 core damage.",Trash
Bastion,neutral-corp,1492.0,0,Barrier,Subroutine End the run.,Common
Datapike,neutral-corp,1412.0,0,Code Gate,"Subroutine The Runner must pay 2 credits, if able. If the Runner cannot pay 2 credits, end the run. Subroutine End the run.",Common
Swarm,weyland-consortium,1076.0,4,Sentry - Destroyer - Illicit,"When you rez Swarm, take 1 bad publicity. Swarm can be advanced and gains ""Subroutine Trash 1 program unless the Runner pays 3 credits."" for each advancement token on it.",Trash
Grim,neutral-corp,1455.0,0,Sentry - Destroyer - Illicit,"When you rez Grim, take 1 bad publicity. Subroutine Trash 1 program.",Common
Wotan,haas-bioroid,1348.0,5,Barrier - Bioroid,Subroutine End the run unless the Runner spends click click. Subroutine End the run unless the Runner pays 3 credits. Subroutine End the run unless the Runner trashes 1 installed program. Subroutine End the run unless the Runner suffers 1 core damage.,Trash
Muckraker,nbn,1270.0,3,Sentry - Tracer - Illicit,"When you rez Muckraker, take 1 bad publicity. Subroutine Trace[1]. If successful, give the Runner 1 tag. Subroutine Trace[2]. If successful, give the Runner 1 tag. Subroutine Trace[3]. If successful, give the Runner 1 tag. Subroutine End the run if the Runner is tagged.",Trash
Snoop,nbn,1268.0,2,Sentry - Tracer,"When the Runner encounters Snoop, reveal all cards in the Runner's grip. Hosted power counter: Reveal all cards in the Runner's grip. Trash 1 of those cards. Subroutine Trace[3]. If successful, place 1 power counter on Snoop.",Trash
Ireress,weyland-consortium,1064.0,1,Code Gate,"Ireress gains ""Subroutine The Runner loses 1 credit"" for each bad publicity you have.",Trash
Paper Wall,neutral-corp,1442.0,0,Barrier,"When the Runner fully breaks this ice, trash it. Subroutine End the run.",Common
Fenris,haas-bioroid,1396.0,2,Sentry - AP - Illicit,"When you rez this ice, take 1 bad publicity. Subroutine Do 1 core damage. Subroutine End the run.",Common
RSVP,nbn,1340.0,2,Code Gate,Subroutine The Runner cannot spend any credits for the remainder of this run.,Trash
Curtain Wall,weyland-consortium,1522.0,2,Barrier,"If Curtain Wall is the outermost piece of ice protecting a server, it has +4 strength. Subroutine End the run. Subroutine End the run. Subroutine End the run.",Common
Gyri Labyrinth,haas-bioroid,1150.0,2,Code Gate,Subroutine The Runner's maximum hand size is reduced by 2 until the beginning of the Corp's next turn.,Trash
Shinobi,jinteki,1356.0,3,Sentry - Tracer - AP - Illicit,"When you rez Shinobi, take 1 bad publicity. Subroutine Trace[1]. If successful, do 1 net damage. Subroutine Trace[2]. If successful, do 2 net damage. Subroutine Trace[3]. If successful, do 3 net damage and end the run.",Faction Common
Marker,jinteki,1194.0,1,Code Gate,"Subroutine The next piece of ice the Runner encounters gains ""Subroutine End the run."" after all its other subroutines for the remainder of this run.",Trash
Quandary,neutral-corp,1666.0,0,Code Gate,Subroutine End the run.,Rare
Inazuma,jinteki,1480.0,2,Code Gate,"Subroutine During the next encounter this run, the Runner cannot break subroutines on the encountered ice. Subroutine The Runner cannot jack out this run until after their next encounter with a piece of ice begins.",Common
Komainu,jinteki,1747.0,4,Sentry - AP,"When the Runner encounters this ice, it gains X ""Subroutine Do 1 net damage."" subroutines for the remainder of this run. X is equal to the number of cards in the grip.",Faction Rare
Pup,jinteki,1555.0,1,Sentry - AP,Subroutine Do 1 net damage unless the Runner pays 1 credit. Subroutine Do 1 net damage unless the Runner pays 1 credit.,Common
Shiro,jinteki,1182.0,4,Code Gate,"Subroutine Look at the top 3 cards of R&D and arrange them in any order. Subroutine You may pay 1 credit. If you do not, the Runner breaches R&D. They cannot access cards in the root of R&D during that breach.",Trash
Susanoo-no-Mikoto,jinteki,1535.0,3,Sentry - Deflector,"Subroutine If the attacked server is not Archives, the Runner moves to the outermost position of Archives instead of passing this ice. The Runner cannot jack out this run until after they encounter a piece of ice.",Faction Common
Guard,neutral-corp,1479.0,0,Sentry,Guard cannot be bypassed. Subroutine End the run.,Common
Rainbow,neutral-corp,1357.0,0,Sentry - Code Gate - Barrier,Subroutine End the run.,Common
Taurus,weyland-consortium,1350.0,2,Sentry - Tracer,"Subroutine Trace[2]. If successful, trash 1 piece of hardware. If your trace strength is 5 or greater, trash 1 piece of hardware.",Faction Common
Mother Goddess,neutral-corp,1666.0,0,Mythic,Mother Goddess gains the subtypes of all other rezzed ice. Subroutine End the run.,Rare
Galahad,neutral-corp,1522.0,1,Barrier - Grail,"When the Runner encounters Galahad, you may reveal up to 2 grail ice from HQ. For the remainder of this run, Galahad gains the subroutines of the revealed ice in the order of your choice. Subroutine End the run.",Common
Information Overload,nbn,1355.0,2,Sentry - Tracer,"When the Runner encounters this ice, Trace[1]. If successful, give them 1 tag. This ice gains ""Subroutine The Runner trashes 1 of their installed cards."" for each tag the Runner has.",Faction Common
IQ,haas-bioroid,1386.0,2,Code Gate,The rez cost of IQ is increased by 1 for each card in HQ. IQ has +1 strength for each card in HQ. Subroutine End the run.,Common
Kitsune,jinteki,1358.0,2,Mythic - Trap,"Subroutine You may choose 1 card in HQ. If you do, the Runner breaches HQ. During this breach, the Runner cannot access cards in the root of HQ, and the first card they access must be the chosen card. When the breach ends, trash this ice.",Common
Wendigo,weyland-consortium,1257.0,2,Code Gate - Morph,"Wendigo can be advanced. While Wendigo has an odd number of advancement tokens on it, it gains barrier and loses code gate. Subroutine Choose a program. The Runner cannot use the chosen program for the remainder of this run.",Trash
Lancelot,neutral-corp,1437.0,1,Sentry - Grail - Destroyer,"When the Runner encounters Lancelot, you may reveal up to 2 grail ice from HQ. For the remainder of this run, Lancelot gains the subroutines of the revealed ice in the order of your choice. Subroutine Trash 1 program.",Common
Architect,haas-bioroid,1949.0,2,Sentry,"Players cannot trash this ice. Subroutine Look at the top 5 cards of R&D. You may install 1 of those cards, ignoring the install cost. Subroutine You may install 1 card from Archives or HQ.",Rare
Ashigaru,jinteki,1365.0,3,Barrier,"Ashigaru gains ""Subroutine End the run."" for each card in HQ.",Faction Common
Mamba,jinteki,1319.0,2,Sentry - Psi - AP,"Hosted power counter: Do 1 net damage. Use this ability only during a run. Subroutine Do 1 net damage. Subroutine You and the Runner secretly spend 0 credits, 1 credit, or 2 credits. Reveal spent credits. If you and the Runner spent a different number of credits, place 1 power counter on Mamba.",Trash
Universal Connectivity Fee,nbn,1562.0,1,Trap,"Subroutine If the Runner is not tagged, they lose 1 credit. If the Runner is tagged, they lose all credits in their credit pool and you trash this ice.",Common
Changeling,weyland-consortium,1306.0,2,Barrier - Morph,"Changeling can be advanced. While Changeling has an odd number of advancement tokens on it, it gains sentry and loses barrier. Subroutine End the run.",Trash
Sagittarius,haas-bioroid,1299.0,2,Sentry - Tracer - Destroyer,"Subroutine Trace[2]. If successful, trash 1 program. If your trace strength is 5 or greater, trash 1 program.",Trash
Gemini,jinteki,1201.0,2,Sentry - Tracer - AP,"Subroutine Trace[2]. If successful, do 1 net damage. If your trace strength is 5 or greater, do 1 net damage.",Trash
Lycan,weyland-consortium,1243.0,2,Sentry - Destroyer - Morph,"Lycan can be advanced. While Lycan has an odd number of advancement tokens on it, it gains code gate and loses sentry. Subroutine Trash 1 program.",Trash
Merlin,neutral-corp,1494.0,1,Code Gate - Grail - AP,"When the Runner encounters Merlin, you may reveal up to 2 grail ice from HQ. For the remainder of this run, Merlin gains the subroutines of the revealed ice in the order of your choice. Subroutine Do 2 net damage.",Common
Errand Boy,weyland-consortium,1319.0,1,Sentry,Subroutine The Corp gains 1 credit or draws 1 card. Subroutine The Corp gains 1 credit or draws 1 card. Subroutine The Corp gains 1 credit or draws 1 card.,Trash
Markus 1.0,haas-bioroid,1336.0,1,Barrier - Bioroid,Lose click: Break 1 subroutine on this ice. Only the Runner can use this ability. Subroutine The Runner trashes 1 of their installed cards. Subroutine End the run.,Trash
Troll,nbn,1362.0,2,Sentry,"When the Runner encounters Troll, Trace[2]. If successful, the Runner must lose click or end the run.",Common
Virgo,nbn,1236.0,2,Sentry - Tracer,"Subroutine Trace[2]. If successful, give the Runner 1 tag. If your trace strength is 5 or greater, give the Runner 1 tag.",Trash
Asteroid Belt,weyland-consortium,1402.0,2,Barrier,Asteroid Belt can be advanced and its rez cost is lowered by 3 for each advancement token on it. Subroutine End the run.,Common
Wormhole,weyland-consortium,1425.0,2,Code Gate,Wormhole can be advanced and its rez cost is lowered by 3 for each advancement token on it. Subroutine Resolve a subroutine on another piece of rezzed ice.,Common
Nebula,weyland-consortium,1383.0,2,Sentry - Destroyer,Nebula can be advanced and its rez cost is lowered by 3 for each advancement token on it. Subroutine Trash 1 program.,Common
Orion,weyland-consortium,1484.0,3,Sentry - Code Gate - Barrier,Orion can be advanced and its rez cost is lowered by 3 for each advancement token on it. Subroutine Trash 1 program. Subroutine Resolve a subroutine on another piece of rezzed ice. Subroutine End the run.,Faction Common
Builder,weyland-consortium,1191.0,1,Code Gate,click: Move this piece of ice to the outermost position protecting any server. Subroutine Place 1 advancement token on a piece of ice protecting this server that can be advanced. Subroutine Place 1 advancement token on a piece of ice protecting this server that can be advanced.,Trash
Checkpoint,weyland-consortium,1345.0,2,Code Gate - Tracer - Illicit,"When you rez Checkpoint, take 1 bad publicity. Subroutine Trace[5]. If successful, do 3 meat damage when this run is successful.",Trash
Fire Wall,weyland-consortium,1472.0,2,Barrier,Fire Wall can be advanced and gains +1 strength for each advancement token on it. Subroutine End the run.,Common
Searchlight,weyland-consortium,1124.0,1,Sentry - Tracer - Observer,"Searchlight can be advanced. X is the number of advancement tokens on Searchlight. Subroutine Trace[X]. If successful, give the Runner 1 tag. Subroutine Trace[X]. If successful, give the Runner 1 tag.",Trash
NEXT Gold,haas-bioroid,1451.0,3,Sentry - NEXT - AP - Destroyer,X is the number of rezzed NEXT ice. Subroutine Do X net damage. Subroutine Trash X programs.,Faction Common
Cortex Lock,jinteki,1700.0,2,Sentry - AP,Subroutine Do 1 net damage for each unused MU the Runner has.,Rare
Bandwidth,nbn,1220.0,1,Code Gate,"Subroutine Give the Runner 1 tag. If this run is successful, the Runner removes 1 tag.",Trash
Negotiator,weyland-consortium,1251.0,2,Sentry - Destroyer,2 credits: Break 1 subroutine on this ice. Only the Runner can use this ability. Subroutine Gain 2 credits. Subroutine Trash 1 installed program.,Trash
Crick,jinteki,1704.0,3,Code Gate,Crick has +3 strength while protecting Archives. Subroutine Install a card from Archives (paying its install cost).,Faction Rare
Gutenberg,nbn,1581.0,3,Sentry - Tracer,"Gutenberg has +3 strength while protecting R&D. Subroutine Trace[7]. If successful, give the Runner 1 tag.",Faction Common
Meru Mati,weyland-consortium,1550.0,2,Barrier,Meru Mati has +3 strength while protecting HQ. Subroutine End the run.,Common
Lab Dog,haas-bioroid,1211.0,2,Trap,Subroutine The Runner trashes an installed piece of hardware. Trash Lab Dog.,Trash
Clairvoyant Monitor,jinteki,1236.0,2,Code Gate - Psi,"Subroutine You and the Runner secretly spend 0 credits, 1 credit, or 2 credits. Reveal spent credits. If you and the Runner spent a different number of credits, place 1 advancement token on an installed card and end the run.",Trash
Lockdown,jinteki,1427.0,1,Code Gate,Subroutine The Runner cannot draw cards for the remainder of this turn.,Common
Little Engine,nbn,1480.0,2,Code Gate,Subroutine End the run. Subroutine End the run. Subroutine The Runner gains 5 credits.,Common
Quicksand,neutral-corp,1393.0,0,Barrier,"When the Runner encounters Quicksand, place 1 power counter on Quicksand. Quicksand has +1 strength for each power counter on it. Subroutine End the run.",Common
Pachinko,nbn,1423.0,1,Barrier,Subroutine End the run if the Runner is tagged. Subroutine End the run if the Runner is tagged.,Common
Enforcer 1.0,haas-bioroid,1320.0,2,Sentry - Bioroid - Destroyer - AP,"As an additional cost to rez this ice, forfeit 1 agenda. Lose click: Break 1 subroutine on this ice. Only the Runner can use this ability. Subroutine Trash 1 installed program. Subroutine Do 1 core damage. Subroutine Trash 1 installed console. Subroutine Trash all installed virtual resources.",Trash
It's a Trap!,jinteki,1290.0,3,Trap,"Whenever this ice is exposed, do 2 net damage. Subroutine The Runner trashes 1 of their installed cards. Trash this ice.",Trash
Tour Guide,weyland-consortium,1799.0,2,Sentry,"Tour Guide gains ""Subroutine End the run."" for each rezzed asset you have.",Rare
Archangel,nbn,1694.0,4,Code Gate - Tracer - Ambush,"While the Runner is accessing this ice in R&D, they must reveal it. When the Runner accesses this ice anywhere except in Archives, you may pay 3 credits. If you do, they encounter it. Subroutine Trace[6]. If successful, add 1 installed Runner card to the grip.",Faction Rare
News Hound,nbn,1642.0,2,Sentry - Tracer,"If a current is active, News Hound gains ""Subroutine End the run."" after all its other subroutines. Subroutine Trace[3]. If successful, give the Runner 1 tag.",Faction Common
Resistor,nbn,1604.0,2,Barrier - Tracer,"Resistor has +1 strength for each tag the Runner has. Subroutine Trace[4]. If successful, end the run.",Faction Common
Special Offer,nbn,1381.0,2,Trap - Advertisement,Subroutine The Corp gains 5 credits. Trash Special Offer.,Common
TLDR,nbn,1370.0,2,Code Gate,"Subroutine When the Runner encounters the next piece of ice during this run, that ice gains a second copy of each subroutine on it (after the original subroutine) for the remainder of the encounter.",Common
Turnpike,nbn,1690.0,2,Sentry - Tracer,"When the Runner encounters this ice, they lose 1 credit. Subroutine Trace[5]. If successful, give the Runner 1 tag.",Faction Common
Assassin,neutral-corp,1533.0,0,Sentry - Destroyer - AP - Tracer,"Subroutine Trace[5]. If successful, do 3 net damage. Subroutine Trace[4]. If successful, trash 1 program.",Faction Common
Vikram 1.0,haas-bioroid,1353.0,2,Sentry - Bioroid - Tracer - AP,"Lose click: Break 1 subroutine on this ice. Only the Runner can use this ability. Subroutine The Runner cannot use programs for the remainder of this run. Subroutine Trace[4]. If successful, do 1 core damage. Subroutine Trace[4]. If successful, do 1 core damage.",Faction Common
Interrupt 0,nbn,1214.0,1,Code Gate,"Subroutine For the remainder of this run, as an additional cost to use an icebreaker ability to break subroutines, the Runner must pay 1 credit. Subroutine For the remainder of this run, as an additional cost to use an icebreaker ability to break subroutines, the Runner must pay 1 credit",Trash
Harvester,jinteki,1269.0,1,Code Gate,Subroutine The Runner draws 3 cards and then discards down to their maximum hand size. Subroutine The Runner draws 3 cards and then discards down to their maximum hand size.,Trash
Bailiff,weyland-consortium,1440.0,2,Barrier,"Whenever the Runner breaks a subroutine on Bailiff, gain 1 credit. Subroutine End the run.",Common
Upayoga,jinteki,1364.0,1,Code Gate - Psi,"Subroutine You and the Runner secretly spend 0 credits, 1 credit, or 2 credits. Reveal spent credits. If you and the Runner spent a different number of credits, the Runner loses 2 credits. Subroutine Resolve a subroutine on a piece of rezzed psi ice.",Common
Cobra,neutral-corp,1617.0,0,Sentry - Destroyer - AP,Subroutine Trash 1 program. Subroutine Do 2 net damage.,Rare
Brainstorm,haas-bioroid,1526.0,4,Sentry - AP,"When the Runner encounters this ice, it gains X ""Subroutine Do 1 core damage."" subroutines for the remainder of this run. X is equal to the number of cards in the grip.",Faction Common
Chetana,jinteki,1418.0,2,Sentry - AP - Psi,"Subroutine Each player gains 2 credits. Subroutine You and the Runner secretly spend 0 credits, 1 credit, or 2 credits. Reveal spent credits. If you and the Runner spent a different number of credits, do 1 net damage for each card in the Runner's grip.",Common
Waiver,nbn,1283.0,2,Code Gate - Tracer,"Subroutine Trace[5]. If successful, the Runner reveals the grip. Trash each card revealed this way with a play or install cost of X or less. X is equal to the amount by which your trace strength exceeded the Runner's link strength.",Trash
Red Tape,weyland-consortium,1182.0,1,Code Gate,Subroutine All ice has +3 strength for the remainder of this run.,Trash
Vanilla,neutral-corp,1845.0,0,Barrier,Subroutine End the run.,Rare
Fairchild 1.0,haas-bioroid,1451.0,1,Code Gate - Bioroid,Lose click: Break 1 subroutine on this ice. Only the Runner can use this ability. Subroutine The Runner must pay 1 credit or trash 1 of their installed cards. Subroutine The Runner must pay 1 credit or trash 1 of their installed cards.,Faction Common
Sherlock 2.0,haas-bioroid,1404.0,3,Sentry - Bioroid - Tracer,"Lose click click: Break up to 2 subroutines on this ice. Only the Runner can use this ability. Subroutine Trace[4]. If successful, add 1 installed program to the bottom of the Runner's stack. Subroutine Trace[4]. If successful, add 1 installed program to the bottom of the Runner's stack. Subroutine Give the Runner 1 tag.",Faction Common
Chrysalis,jinteki,1469.0,2,Sentry - AP,"While the Runner is accessing this ice in R&D, they must reveal it. When the Runner accesses this ice anywhere except in Archives, they encounter it. Subroutine Do 2 net damage.",Common
Fairchild 2.0,haas-bioroid,1643.0,2,Code Gate - Bioroid - AP,Lose click click: Break up to 2 subroutines on this ice. Only the Runner can use this ability. Subroutine The Runner must pay 2 credits or trash 1 of their installed cards. Subroutine The Runner must pay 2 credits or trash 1 of their installed cards. Subroutine Do 1 core damage.,Faction Common
Aiki,jinteki,1603.0,2,Code Gate - Psi - AP,"Subroutine You and the Runner secretly spend 0 credits, 1 credit, or 2 credits. Reveal spent credits. If you and the Runner spent a different number of credits, the Runner draws 2 cards. Subroutine Do 1 net damage. Subroutine Do 1 net damage.",Rare
Fairchild 3.0,haas-bioroid,1928.0,3,Code Gate - Bioroid - AP,Lose click click click: Break up to 3 subroutines on this ice. Only the Runner can use this ability. Subroutine The Runner must pay 3 credits or trash 1 of their installed cards. Subroutine The Runner must pay 3 credits or trash 1 of their installed cards. Subroutine Do 1 core damage or end the run.,Faction Rare
DNA Tracker,jinteki,1784.0,3,Code Gate - AP,Subroutine Do 1 net damage. The Runner loses 2 credits. Subroutine Do 1 net damage. The Runner loses 2 credits. Subroutine Do 1 net damage. The Runner loses 2 credits.,Faction Rare
Data Ward,nbn,1670.0,3,Barrier,"When the Runner encounters this ice, they take 1 tag unless they pay 3 credits. Subroutine End the run if the Runner is tagged. Subroutine End the run if the Runner is tagged. Subroutine End the run if the Runner is tagged. Subroutine End the run if the Runner is tagged.",Faction Rare
Bulwark,weyland-consortium,1597.0,3,Barrier - Illicit,"When you rez this ice, take 1 bad publicity. When the Runner encounters this ice, gain 2 credits if there is an installed AI program. Subroutine The Runner trashes 1 installed program. Subroutine Gain 2 credits. End the run. Subroutine Gain 2 credits. End the run.",Faction Common
Fairchild,haas-bioroid,1450.0,5,Code Gate - Bioroid - AP,Subroutine End the run unless the Runner pays 4 credits. Subroutine End the run unless the Runner pays 4 credits. Subroutine End the run unless the Runner trashes 1 of their installed cards. Subroutine End the run unless the Runner suffers 1 core damage.,Faction Common
Mind Game,jinteki,1570.0,3,Code Gate - Psi - Deflector,"Subroutine You and the Runner secretly spend 0 credits, 1 credit, or 2 credits. Reveal spent credits. If you and the Runner spent a different number of credits, choose another server. The Runner moves to the outermost position of that server instead of passing this ice. For the remainder of this run, the Runner must add 1 installed Runner card to the bottom of their stack as an additional cost to jack out. The Runner may jack out.",Faction Common
IP Block,nbn,1794.0,1,Barrier - Tracer,"When the Runner encounters this ice, give them 1 tag if there is an installed AI program. Subroutine Trace[3]. If successful, give the Runner 1 tag. Subroutine End the run if the Runner is tagged.",Faction Common
Thoth,nbn,1412.0,3,Sentry - Tracer,"When the Runner encounters this ice, give them 1 tag. Subroutine Trace[4]. If successful, do 1 net damage for each tag the Runner has. Subroutine Trace[4]. If successful, the Runner loses 1 credit for each tag they have.",Faction Common
Mausolus,weyland-consortium,1867.0,3,Code Gate - AP,"You can advance this ice. Subroutine Gain 1 credit. If there are 3 or more hosted advancement counters, instead gain 3 credits. Subroutine Do 1 net damage. If there are 3 or more hosted advancement counters, instead do 3 net damage. Subroutine Give the Runner 1 tag. If there are 3 or more hosted advancement counters, instead give the Runner 1 tag and end the run.",Faction Rare
Sapper,weyland-consortium,1480.0,2,Sentry - Destroyer,"While the Runner is accessing this ice in R&D, they must reveal it. When the Runner accesses this ice anywhere except in Archives, they encounter it. Subroutine Trash 1 installed program.",Common
Chiyashi,jinteki,1659.0,2,Barrier - AP,"Whenever the Runner breaks a subroutine on Chiyashi while there is an AI installed, trash the top 2 cards of the Runner's stack. Subroutine Do 2 net damage. Subroutine Do 2 net damage. Subroutine End the run.",Rare
Herald,nbn,1303.0,2,Code Gate,"While the Runner is accessing this ice in R&D, they must reveal it. When the Runner accesses this ice anywhere except in Archives, they encounter it. Subroutine Gain 2 credits. Subroutine You may pay up to 2 credits to place that many advancement counters on 1 installed card you can advance.",Trash
Veritas,weyland-consortium,1521.0,3,Sentry - Tracer,"Subroutine The Corp gains 2 credits. Subroutine The Runner loses 2 credits. Subroutine Trace[2]. If successful, give the Runner 1 tag.",Faction Common
Macrophage,neutral-corp,1621.0,0,Code Gate - Tracer,"Subroutine Trace[4]. If successful, purge virus counters. Subroutine Trace[3]. If successful, trash 1 virus. Subroutine Trace[2]. If successful, remove a virus in the heap from the game. Subroutine Trace[1]. If successful, end the run.",Faction Common
Tribunal,neutral-corp,1279.0,0,Sentry,Subroutine The Runner trashes 1 of their installed cards. Subroutine The Runner trashes 1 of their installed cards. Subroutine The Runner trashes 1 of their installed cards.,Trash
Zed 2.0,haas-bioroid,1263.0,3,Sentry - Bioroid - AP - Destroyer,"Lose click click: Break up to 2 subroutines on this ice. Only the Runner can use this ability. Subroutine Trash 1 installed piece of hardware. Subroutine Trash 1 installed piece of hardware. Subroutine If the Runner has lost click to break a subroutine during this run, do 2 core damage.",Trash
