stripped_title,faction_code,rating,faction_cost,keywords,stripped_text,rarity
Kakugo,jinteki,1980.0,3,Barrier - AP,"When the Runner passes Kakugo, do 1 net damage. Subroutine End the run.",Faction Rare
SYNC BRE,nbn,1428.0,3,Sentry - Tracer,"Subroutine Trace[4]. If successful, give the Runner 1 tag. Subroutine Trace[2]. If successful, whenever the Runner breaches a server for the remainder of this run, they access 1 fewer card.",Faction Common
Seidr Adaptive Barrier,haas-bioroid,1452.0,1,Barrier,Seidr Adaptive Barrier has +1 strength for each piece of ice protecting this server. Subroutine End the run.,Common
Nerine 2.0,haas-bioroid,1310.0,3,Code Gate - Bioroid - AP,Lose click click: Break up to 2 subroutines on this ice. Only the Runner can use this ability. Subroutine Do 1 core damage. You may draw 1 card. Subroutine Do 1 core damage. You may draw 1 card.,Trash
Bloom,jinteki,1223.0,2,Code Gate - Observer,"Subroutine You may install 1 piece of ice from HQ protecting another server, ignoring all costs. Subroutine You may install 1 piece of ice from HQ directly inward from this ice, ignoring all costs.",Trash
Free Lunch,nbn,1313.0,3,Code Gate,Hosted power counter: The Runner loses 1 credit. Subroutine Place 1 power counter on Free Lunch. Subroutine Place 1 power counter on Free Lunch.,Trash
Watchtower,weyland-consortium,1288.0,3,Code Gate,Subroutine Search R&D for a card and add it to HQ. Shuffle R&D.,Trash
Self-Adapting Code Wall,neutral-corp,1261.0,0,Barrier,The strength of Self-Adapting Code Wall cannot be lowered. Subroutine End the run.,Trash
NEXT Opal,haas-bioroid,1154.0,1,Code Gate - Observer - NEXT,"This ice gains ""Subroutine You may install 1 card from HQ."" for each rezzed piece of NEXT ice.",Trash
Authenticator,nbn,1441.0,1,Code Gate,"When the Runner encounters this ice, they may take 1 tag to bypass it. Subroutine The Corp gains 2 credits. Subroutine End the run.",Common
Battlement,weyland-consortium,1354.0,4,Barrier,Subroutine End the run. Subroutine End the run.,Faction Common
Owl,neutral-corp,1334.0,0,Sentry,Subroutine Add 1 installed program to the top of the stack.,Trash
Loki,haas-bioroid,1670.0,5,Bioroid,"When the Runner encounters this ice, choose another rezzed piece of ice. For the remainder of this run, this ice gains the subtypes of the chosen ice and gains the subroutines of that ice in order before all its other subroutines. Subroutine The Runner must either end the run or shuffle all cards from the grip into the stack.",Faction Rare
Miraju,jinteki,1560.0,2,Code Gate - Deflector,"Whenever an encounter with this ice ends, if the Runner broke its printed subroutine, the Runner moves to the outermost position of Archives instead of passing this ice. They may jack out. Derez this ice. Subroutine You may draw 1 card. Then, shuffle 1 card from HQ into R&D.",Common
Metamorph,jinteki,1102.0,3,Code Gate - Observer,Subroutine Swap 2 other installed pieces of ice or 2 of your installed non-ice cards.,Trash
Data Loop,nbn,1649.0,2,Barrier,"When the Runner encounters this ice, they add 2 cards from the grip to the top of the stack. Subroutine End the run if the Runner is tagged. Subroutine End the run.",Rare
Tithonium,weyland-consortium,1708.0,2,Barrier - Destroyer,You may forfeit an agenda to rez Tithonium instead of paying its rez cost. Tithonium cannot host cards. Subroutine Trash 1 program. Subroutine Trash 1 program. Subroutine Trash 1 resource and end the run.,Rare
Sand Storm,jinteki,1367.0,3,Trap - Deflector,"Subroutine If this ice is installed, move it to the outermost position protecting another server. (The run continues from this new position.) Trash this ice.",Faction Common
Conundrum,neutral-corp,1333.0,0,Code Gate,"Conundrum has +3 strength if there is an installed AI. Subroutine The Runner trashes an installed program. Subroutine The Runner loses click, if able. Subroutine End the run.",Trash
Eli 2.0,haas-bioroid,1359.0,2,Barrier - Bioroid,Lose click click: Break up to 2 subroutines on this ice. Only the Runner can use this ability. Subroutine You may draw 1 card. Subroutine End the run. Subroutine End the run.,Faction Common
Executive Functioning,haas-bioroid,1184.0,3,Code Gate - AP - Tracer,"Subroutine Trace[4]. If successful, do 1 core damage.",Trash
Holmegaard,haas-bioroid,1428.0,2,Sentry - Tracer - Destroyer,"Subroutine Trace[4]. If successful, the Runner cannot access cards or breach the attacked server for the remainder of this run. Subroutine Trash 1 installed icebreaker.",Faction Common
Tapestry,haas-bioroid,1342.0,1,Code Gate,"Subroutine The Runner loses click, if able. Subroutine The Corp may draw 1 card. Subroutine The Corp may add 1 card from HQ to the top of R&D.",Trash
Bloodletter,weyland-consortium,1192.0,2,Sentry - Destroyer,Subroutine The Runner must trash either 1 installed program or the top 2 cards of the stack.,Trash
Hailstorm,weyland-consortium,1296.0,4,Barrier,Subroutine Remove a card in the heap from the game. Subroutine End the run.,Trash
Weir,neutral-corp,1318.0,0,Code Gate,Subroutine The Runner loses click. Subroutine The Runner trashes 1 card from their grip.,Trash
Hudson 1.0,haas-bioroid,1261.0,1,Code Gate - Bioroid,Lose click: Break 1 subroutine on this ice. Only the Runner can use this ability. Subroutine The Runner cannot access more than 1 card during this run. Subroutine The Runner cannot access more than 1 card during this run.,Trash
Hive,weyland-consortium,1644.0,2,Barrier,"This ice loses 1 of its printed ""Subroutine End the run."" subroutines for each agenda point in your score area. Subroutine End the run. Subroutine End the run. Subroutine End the run. Subroutine End the run. Subroutine End the run.",Rare
Shadow,weyland-consortium,1407.0,1,Sentry - Tracer,"Shadow can be advanced and has +1 strength for each advancement token on it. Subroutine The Corp gains 2 credits. Subroutine Trace[3]. If successful, give the Runner 1 tag.",Faction Common
Whirlpool,jinteki,1293.0,2,Trap,Subroutine The Runner cannot jack out for the remainder of this run. Trash Whirlpool.,Trash
Najja 1.0,haas-bioroid,1411.0,2,Barrier - Bioroid,Lose click: Break 1 subroutine on this ice. Only the Runner can use this ability. Subroutine End the run. Subroutine End the run.,Faction Common
Mganga,jinteki,1384.0,2,Trap - Psi - AP,"Subroutine You and the Runner secretly spend 0 credits, 1 credit or 2 credits. Reveal spent credits. If you and the Runner spend a different number of credits, do 2 net damage; otherwise do 1 net damage. Trash Mganga.",Common
Nightdancer,haas-bioroid,1350.0,3,Code Gate,"Subroutine The Runner loses click, if able. You have an additional click to spend during your next turn. Subroutine The Runner loses click, if able. You have an additional click to spend during your next turn.",Faction Common
Aimor,jinteki,1318.0,2,Trap,Subroutine Trash the top 3 cards of the stack. Trash Aimor.,Trash
Jua,nbn,1522.0,2,Sentry,"When the Runner encounters this ice, they cannot install cards for the remainder of the turn. Subroutine Choose 2 installed Runner cards, if able. The Runner must add 1 of the chosen cards to the top of the stack.",Common
NEXT Sapphire,haas-bioroid,1401.0,3,Code Gate - NEXT,X is the number of rezzed NEXT ice. Subroutine Draw up to X cards. Subroutine Add up to X cards from Archives to HQ. Subroutine Shuffle up to X cards from HQ into R&D.,Faction Common
Anansi,jinteki,1914.0,4,Sentry - AP,"Whenever an encounter with this ice ends, if the Runner did not fully break it, do 3 net damage. Subroutine Look at the top 5 cards of R&D and arrange them in any order. Subroutine You may draw 1 card. The Runner may pay 2 credits to draw 1 card. Subroutine Do 1 net damage.",Faction Rare
Sadaka,jinteki,1535.0,2,Trap,"Subroutine Look at the top 3 cards of R&D and either arrange them in any order or shuffle R&D. You may draw 1 card. Subroutine You may trash 1 card in HQ. If you do, trash 1 resource. Trash Sadaka.",Common
Endless EULA,nbn,1720.0,2,Barrier,Subroutine End the run unless the Runner pays 1 credit. Subroutine End the run unless the Runner pays 1 credit. Subroutine End the run unless the Runner pays 1 credit. Subroutine End the run unless the Runner pays 1 credit. Subroutine End the run unless the Runner pays 1 credit. Subroutine End the run unless the Runner pays 1 credit.,Rare
Sandman,nbn,1274.0,3,Code Gate,Subroutine Add an installed Runner card to the grip. Subroutine Add an installed Runner card to the grip.,Trash
Oduduwa,weyland-consortium,1459.0,5,Code Gate,"When the Runner encounters Oduduwa, place 1 advancement token on it. You may place X advancement tokens on another piece of ice. X is the number of advancement tokens on Oduduwa. Subroutine End the run. Subroutine End the run.",Faction Common
Kamali 1.0,haas-bioroid,1273.0,4,Sentry - Bioroid - Destroyer - AP,Lose click: Break 1 subroutine on this ice. Only the Runner can use this ability. Subroutine Do 1 core damage unless the Runner trashes 1 installed resource. Subroutine Do 1 core damage unless the Runner trashes 1 installed piece of hardware. Subroutine Do 1 core damage unless the Runner trashes 1 installed program.,Trash
Envelope,jinteki,1424.0,2,Barrier - AP,Subroutine Do 1 net damage. Subroutine End the run.,Common
Masvingo,weyland-consortium,1526.0,2,Barrier,"Masvingo can be advanced. When you rez Masvingo, place 1 advancement token on it. Masvingo gains ""Subroutine End the run."" for each advancement token on it.",Common
NEXT Diamond,haas-bioroid,1419.0,4,Sentry - NEXT - Destroyer - AP,This rez cost of this ice is lowered by 1 credit for each other rezzed piece of NEXT ice. Subroutine Do 1 core damage. Subroutine Do 1 core damage. Subroutine Trash 1 installed Runner card.,Faction Common
Mlinzi,jinteki,1479.0,3,Sentry - AP,Subroutine Do 1 net damage unless the Runner trashes the top 2 cards of the stack. Subroutine Do 2 net damage unless the Runner trashes the top 3 cards of the stack. Subroutine Do 3 net damage unless the Runner trashes the top 4 cards of the stack.,Faction Common
Surveyor,weyland-consortium,1784.0,2,Sentry - Tracer,"X is twice the number of ice protecting this server. Subroutine Trace[X]. If successful, give the Runner 2 tags. Subroutine Trace[X]. If successful, end the run.",Faction Common
Meridian,haas-bioroid,1568.0,3,Barrier,Subroutine Gain 4 credits and end the run unless the Runner adds this ice to their score area as an agenda worth -1 agenda point.,Faction Common
Gatekeeper,haas-bioroid,1792.0,2,Code Gate,"Gatekeeper has +6 strength if you rezzed it this turn. Subroutine Draw up to 3 cards. Reveal up to 3 agendas in HQ and/or Archives, then shuffle those agendas into R&D. Subroutine End the run.",Rare
Otoroshi,jinteki,1447.0,2,Sentry,"Subroutine You may place up to 3 advancement counters on 1 card installed in the root of a remote server. If you do, the Runner accesses that card unless they pay 3 credits.",Common
Thimblerig,jinteki,1759.0,1,Code Gate,"When your turn begins and whenever the Runner passes this ice, you may swap this ice with another installed piece of ice. Subroutine End the run.",Rare
Peeping Tom,nbn,1279.0,3,Code Gate,"When the Runner encounters this ice, choose a card type, then reveal all cards in the grip. For the remainder of this run, this ice gains ""Subroutine End the run unless the Runner takes 1 tag."" for each revealed card of the chosen type.",Trash
Hydra,nbn,1630.0,4,Sentry - AP,"Subroutine Do 3 net damage if the Runner is tagged; otherwise, give the Runner 1 tag. Subroutine Gain 5 credits if the Runner is tagged; otherwise, give the Runner 1 tag. Subroutine End the run if the Runner is tagged; otherwise, give the Runner 1 tag.",Faction Rare
Blockchain,weyland-consortium,1402.0,4,Barrier,"Blockchain gains ""Subroutine The Corp gains 1 credit and the Runner loses 1 credit."" before all its other subroutines for every 2 faceup transaction operations in Archives. Subroutine The Corp gains 1 credit and the Runner loses 1 credit. Subroutine End the run.",Faction Common
Formicary,weyland-consortium,1526.0,2,Sentry - AP,"Whenever the Runner approaches a server, you may rez this ice. If you do, move this ice to the innermost position protecting the approached server. The Runner moves to this ice and encounters it. Subroutine End the run unless the Runner suffers 2 net damage.",Common
Heimdall 1.0,haas-bioroid,1379.0,2,Barrier - Bioroid - AP,Lose click: Break 1 subroutine on this ice. Only the Runner can use this ability. Subroutine Do 1 core damage. Subroutine End the run. Subroutine End the run.,Faction Common
Ichi 1.0,haas-bioroid,1676.0,2,Sentry - Bioroid - Tracer - Destroyer,"Lose click: Break 1 subroutine on this ice. Only the Runner can use this ability. Subroutine Trash 1 installed program. Subroutine Trash 1 installed program. Subroutine Trace[1]. If successful, do 1 core damage and give the Runner 1 tag.",Faction Common
Turing,haas-bioroid,1763.0,3,Code Gate,Turing has +3 strength while protecting a remote server. The Runner cannot use AI programs to break subroutines on Turing. Subroutine End the run unless the Runner spends click click click.,Faction Rare
Viktor 1.0,haas-bioroid,1475.0,2,Code Gate - Bioroid - AP,Lose click: Break 1 subroutine on this ice. Only the Runner can use this ability. Subroutine Do 1 core damage. Subroutine End the run.,Faction Common
Himitsu-Bako,jinteki,1532.0,2,Barrier,1 credit: Add Himitsu-Bako to HQ. Subroutine End the run.,Common
Neural Katana,jinteki,1398.0,2,Sentry - AP,Subroutine Do 3 net damage.,Common
Tsurugi,jinteki,1482.0,2,Sentry - AP,Subroutine End the run unless the Corp pays 1 credit. Subroutine Do 1 net damage. Subroutine Do 1 net damage. Subroutine Do 1 net damage.,Common
Wall of Thorns,jinteki,1311.0,1,Barrier - AP,Subroutine Do 2 net damage. Subroutine End the run.,Trash
Yagura,jinteki,1580.0,2,Code Gate - AP,Subroutine Look at the top card of R&D. You may add that card to the bottom of R&D. Subroutine Do 1 net damage.,Common
Data Raven,nbn,1795.0,2,Sentry - Tracer - Observer,"When the Runner encounters this ice, they must take 1 tag or end the run. Hosted power counter: Give the Runner 1 tag. Subroutine Trace[3]. If successful, place 1 power counter on this ice.",Faction Common
Flare,nbn,1466.0,3,Sentry - Tracer - AP,"Subroutine Trace[6]. If successful, trash 1 piece of hardware, do 2 meat damage (cannot be prevented), and end the run.",Faction Common
Caduceus,weyland-consortium,1571.0,2,Sentry - Tracer,"Subroutine Trace[3]. If successful, the Corp gains 3 credits. Subroutine Trace[2]. If successful, end the run.",Faction Common
Hadrian's Wall,weyland-consortium,1300.0,3,Barrier,Hadrian's Wall can be advanced and has +1 strength for each advancement token on it. Subroutine End the run. Subroutine End the run.,Trash
Spiderweb,weyland-consortium,1549.0,2,Barrier,Subroutine End the run. Subroutine End the run. Subroutine End the run.,Common
Hunter,neutral-corp,1310.0,0,Sentry - Tracer - Observer,"Subroutine Trace[3]. If successful, give the Runner 1 tag.",Trash
Wall of Static,neutral-corp,1490.0,0,Barrier,Subroutine End the run.,Common
Hagen,haas-bioroid,1697.0,3,Barrier - Destroyer,"This ice has -1 strength for each installed icebreaker. Subroutine Trash 1 program that is not a decoder, fracter, or killer. Subroutine End the run.",Faction Rare
Saisentan,jinteki,1657.0,3,Sentry - AP - Observer,"When the Runner encounters this ice, choose a card type. For the remainder of the encounter, whenever you trash a card of that type with net damage from a subroutine on this ice, do 1 net damage. Subroutine Do 1 net damage. Subroutine Do 1 net damage. Subroutine Do 1 net damage.",Faction Rare
Congratulations!,nbn,1292.0,2,Code Gate - Advertisement,"When the Runner passes this ice, gain 1 credit. Subroutine Gain 2 credits. The Runner gains 1 credit.",Trash
Loot Box,nbn,1349.0,1,Trap,Subroutine End the run unless the Runner pays 2 credits. Subroutine Reveal the top 3 cards of the stack. Add 1 of those cards to the grip and gain credits equal to its install or play cost. The Runner shuffles the stack. Trash this ice.,Trash
Afshar,weyland-consortium,1739.0,2,Code Gate,"While this ice is protecting HQ, the Runner cannot break more than 1 of its printed subroutines during each encounter. Subroutine The Runner loses 2 credits. Subroutine End the run.",Rare
Sandstone,weyland-consortium,1516.0,2,Barrier,"When the Runner encounters this ice, place 1 virus counter on it. This ice has -1 strength for each hosted virus counter. Subroutine End the run.",Common
Trebuchet,weyland-consortium,1592.0,3,Sentry - Illicit - Destroyer - Tracer,"When you rez this ice, take 1 bad publicity. Subroutine Trash 1 installed Runner card. Subroutine Trace[6]. If successful, the Runner cannot steal or trash Corp cards for the remainder of the run.",Faction Common
Rime,neutral-corp,1412.0,0,Mythic,"During runs on this server, you can rez this ice any time you could rez non-ice cards. Each piece of ice protecting this server has +1 strength. Subroutine The Runner loses 1 credit.",Common
Drafter,haas-bioroid,1756.0,2,Sentry,"Subroutine You may add 1 card from Archives to HQ. Subroutine You may install 1 card from Archives or HQ, ignoring all costs.",Rare
Tyr,haas-bioroid,1605.0,5,Sentry - Bioroid - AP - Destroyer,Lose click: Break 1 subroutine on this ice. The Corp gets +1 allotted click for their next turn. Only the Runner can use this ability. Subroutine Do 2 core damage. Subroutine Trash 1 installed Runner card. Gain 3 credits. Subroutine End the run.,Faction Rare
Engram Flush,jinteki,1912.0,1,Code Gate - Observer,"When the Runner encounters this ice, choose a card type. For the remainder of this encounter, whenever you reveal the grip with a subroutine on this ice, you may trash 1 revealed card of that type. Subroutine Reveal the grip. Subroutine Reveal the grip.",Rare
Konjin,jinteki,1515.0,3,Mythic - Psi,"When the Runner encounters this ice, you and the Runner secretly spend 0 credits, 1 credit, or 2 credits. Reveal spent credits. If you and the Runner spent a different number of credits, you may force the Runner to encounter another rezzed piece of ice. (When that encounter ends, if the run has not ended, finish encountering this ice.)",Faction Common
F2P,nbn,1570.0,2,Sentry,"2 credits: Break 1 subroutine on this ice. Only the Runner can use this ability, and only if they are not tagged. Subroutine Add 1 installed Runner card to the grip. Subroutine Give the Runner 1 tag.",Common
Gold Farmer,nbn,1924.0,3,Barrier,"When the Runner breaks a printed subroutine on this ice, they lose 1 credit. Subroutine End the run unless the Runner pays 3 credits. Subroutine End the run unless the Runner pays 3 credits.",Faction Rare
Akhet,weyland-consortium,1706.0,2,Barrier,"You can advance this ice. While there are 3 or more hosted advancement tokens, this ice has +3 strength and the Runner cannot break more than 1 of its printed subroutines during each encounter. Subroutine Gain 1 credit. Place 1 advancement token on an installed card. Subroutine End the run.",Rare
Colossus,weyland-consortium,1533.0,2,Sentry - Destroyer,"You can advance this ice. It has +1 strength for each hosted advancement token. Subroutine Give the Runner 1 tag. If there are 3 or more hosted advancement tokens, instead give the Runner 2 tags. Subroutine Trash 1 installed program. If there are 3 or more hosted advancement tokens, instead trash 1 installed program and 1 installed resource.",Common
Winchester,weyland-consortium,1579.0,4,Sentry - Tracer - Destroyer,"While this ice is protecting HQ, it gains ""Subroutine Trace[3]. If successful, end the run."" after all its other subroutines. Subroutine Trace[4]. If successful, trash 1 installed program. Subroutine Trace[3]. If successful, trash 1 installed piece of hardware.",Faction Common
Slot Machine,nbn,1898.0,1,Code Gate,"When the Runner encounters this ice, they put the top card of the stack on the bottom, then you reveal the top 3 cards of the stack. Subroutine The Runner loses 3 credits. Subroutine If you revealed 2 or more cards that share a type when this encounter began, gain 3 credits. Subroutine If you revealed 3 or more cards that share a type when this encounter began, place 3 advancement tokens on an installed card.",Rare
Border Control,weyland-consortium,2025.0,3,Barrier,trash: End the run. Use this ability only during a run on this server. Subroutine Gain 1 credit for each piece of ice protecting this server. Subroutine End the run.,Faction Rare
NEXT Bronze,haas-bioroid,1549.0,2,Code Gate - NEXT,NEXT Bronze has +1 strength for each rezzed piece of NEXT ice. Subroutine End the run.,Common
NEXT Silver,haas-bioroid,1527.0,2,Barrier - NEXT,"NEXT Silver gains ""Subroutine End the run."" for each rezzed piece of NEXT ice.",Common
Excalibur,neutral-corp,1755.0,0,Mythic - Grail,Subroutine The Runner cannot make another run this turn.,Rare
Ansel 1.0,haas-bioroid,1788.0,3,Sentry - Bioroid - Destroyer,Lose click: Break 1 subroutine on this ice. Only the Runner can use this ability. Subroutine Trash 1 installed Runner card. Subroutine You may install 1 card from HQ or Archives. Subroutine The Runner cannot steal or trash Corp cards for the remainder of this run.,Faction Rare
Bran 1.0,haas-bioroid,1636.0,2,Barrier - Bioroid,"Lose click: Break 1 subroutine on this ice. Only the Runner can use this ability. Subroutine You may install 1 piece of ice from HQ or Archives directly inward from this ice, ignoring all costs. Subroutine End the run. Subroutine End the run.",Faction Common
Diviner,jinteki,1452.0,2,Code Gate - AP,"Subroutine Do 1 net damage. If you trash a card with a printed play or install cost that is an odd number, end the run. (0 is not odd.)",Common
Karuna,jinteki,1400.0,2,Sentry - AP,Subroutine Do 2 net damage. The Runner may jack out. Subroutine Do 2 net damage.,Common
Funhouse,nbn,1700.0,2,Code Gate,"When the Runner encounters this ice, end the run unless the Runner takes 1 tag. Subroutine Give the Runner 1 tag unless they pay 4 credits.",Rare
Ping,nbn,1672.0,2,Barrier,"When you rez this ice during a run against this server, give the Runner 1 tag. Subroutine End the run.",Rare
Ballista,weyland-consortium,1484.0,2,Sentry - Destroyer,Subroutine Trash 1 installed program or end the run.,Common
Pharos,weyland-consortium,1535.0,3,Barrier,You can advance this ice. It gets +5 strength while there are 3 or more hosted advancement counters. Subroutine Give the Runner 1 tag. Subroutine End the run. Subroutine End the run.,Faction Common
Palisade,neutral-corp,1526.0,0,Barrier,"While this ice is protecting a remote server, it gets +2 strength. Subroutine End the run.",Common
Tithe,neutral-corp,1528.0,0,Sentry - AP,Subroutine Do 1 net damage. Subroutine Gain 1 credit.,Common
Whitespace,neutral-corp,1614.0,0,Code Gate,"Subroutine The Runner loses 3 credits. Subroutine If the Runner has 6 credits or less, end the run.",Rare
Eli 1.0,haas-bioroid,1809.0,1,Barrier - Bioroid,Lose click: Break 1 subroutine on this ice. Only the Runner can use this ability. Subroutine End the run. Subroutine End the run.,Faction Common
Magnet,haas-bioroid,1666.0,1,Code Gate,"When you rez this ice, choose 1 installed program hosted on a piece of ice. Move that program onto this ice. Each hosted program loses all abilities. Subroutine End the run.",Rare
Ravana 1.0,haas-bioroid,1582.0,1,Code Gate - Bioroid,Lose click: Break 1 subroutine on this ice. Only the Runner can use this ability. Subroutine Resolve 1 subroutine on another rezzed bioroid ice. Subroutine Resolve 1 subroutine on another rezzed bioroid ice.,Faction Common
Rototurret,haas-bioroid,1515.0,1,Sentry - Destroyer,Subroutine Trash 1 installed program. Subroutine End the run.,Common
Lotus Field,jinteki,1528.0,1,Code Gate,The strength of this ice cannot be lowered. Subroutine End the run.,Common
Swordsman,jinteki,1550.0,1,Sentry - AP - Destroyer,The Runner cannot break subroutines on this ice using AI programs. Subroutine Trash 1 installed AI program. Subroutine Do 1 net damage.,Common
Pop-up Window,nbn,1662.0,1,Code Gate - Advertisement,"When the Runner encounters this ice, gain 1 credit. Subroutine End the run unless the Runner pays 1 credit.",Rare
Tollbooth,nbn,1837.0,2,Code Gate,"When the Runner encounters this ice, they must pay 3 credits, if able. If they do not, end the run. Subroutine End the run.",Rare
Wraparound,nbn,1772.0,1,Barrier,"While there are no installed fracter programs, this ice gets +7 strength. Subroutine End the run.",Rare
Archer,weyland-consortium,1746.0,2,Sentry - Destroyer,"As an additional cost to rez this ice, forfeit 1 agenda. Subroutine Gain 2 credits. Subroutine Trash 1 installed program. Subroutine Trash 1 installed program. Subroutine End the run.",Rare
Hortum,weyland-consortium,1675.0,2,Code Gate,"You can advance this ice. If there are 3 or more hosted advancement counters, the Runner cannot break subroutines on this ice using AI programs. Subroutine Gain 1 credit. If there are 3 or more hosted advancement counters, instead gain 4 credits. Subroutine End the run. If there are 3 or more hosted advancement counters, instead search R&D for up to 2 cards. Add those cards to HQ, then end the run.",Rare
Ice Wall,weyland-consortium,1565.0,1,Barrier,You can advance this ice. It gets +1 strength for each hosted advancement counter. Subroutine End the run.,Common
Enigma,neutral-corp,1761.0,0,Code Gate,Subroutine The Runner loses click. Subroutine End the run.,Rare
Echo,haas-bioroid,1470.0,2,Barrier - Harmonic,"Whenever you rez a piece of harmonic ice, place 1 power counter on this ice. This ice gains ""Subroutine End the run."" for each hosted power counter.",Faction Common
Hakarl 1.0,haas-bioroid,1500.0,3,Barrier - Bioroid - AP,"When you rez this ice during a run against this server, you may derez another installed card. If you do, the Runner cannot use paid abilities printed on bioroid ice for the remainder of this turn. Lose click: Break 1 subroutine on this ice. Only the Runner can use this ability. Subroutine Do 1 core damage. Subroutine End the run.",Faction Common
Wave,haas-bioroid,1431.0,1,Code Gate - Harmonic,"When you rez this ice during a run against this server, you may search R&D for a piece of ice and reveal it. (Shuffle R&D after searching it.) Add that ice to HQ. Subroutine Gain 1 credit for each rezzed piece of harmonic ice.",Faction Common
Anemone,jinteki,1645.0,2,Sentry - AP,"When you rez this ice during a run against this server, you may trash 1 card from HQ to do 2 net damage. Subroutine Do 1 net damage.",Rare
Bathynomus,jinteki,1415.0,3,Sentry - AP,"While this ice is protecting Archives, it gets +3 strength. Subroutine Do 3 net damage.",Faction Common
Ivik,jinteki,1471.0,2,Barrier - AP,The rez cost of this ice is lowered by 1 credit for each rezzed piece of code gate ice. Subroutine Do 2 net damage. Subroutine End the run.,Common
Mestnichestvo,nbn,1589.0,2,Code Gate,"You can advance this ice. When the Runner encounters this ice, you may remove 1 hosted advancement counter. If you do, the Runner loses 3 credits. Subroutine The Runner loses 3 credits. Subroutine End the run.",Common
Vasilisa,nbn,1552.0,2,Sentry - Observer,"When the Runner encounters this ice, you may pay 1 credit. If you do, place 1 advancement counter on an installed card you can advance. Subroutine Give the Runner 1 tag.",Common
Envelopment,weyland-consortium,1707.0,3,Barrier,"When you rez this ice, place 4 power counters on it. When your turn begins, remove 1 hosted power counter. This ice gains ""Subroutine End the run."" before its printed subroutine for each hosted power counter. Subroutine Trash this ice.",Faction Rare
Maskirovka,weyland-consortium,1477.0,3,Barrier,Subroutine Gain 2 credits. Subroutine End the run.,Faction Common
Stavka,weyland-consortium,1614.0,2,Sentry - Destroyer,"When you rez this ice, you may trash 1 of your other installed cards. If you do, this ice gets +5 strength for the remainder of the run. Subroutine Trash 1 installed program. Subroutine Trash 1 installed program.",Rare
Bloop,haas-bioroid,1602.0,2,Sentry - AP - Destroyer - Harmonic,"As an additional cost to rez this ice, derez another piece of harmonic ice. Subroutine Do 1 core damage. Subroutine Trash 1 installed program. Subroutine Trash 1 installed program.",Faction Common
Pulse,haas-bioroid,1570.0,2,Code Gate - Harmonic,"When you rez this ice during a run against this server, the Runner loses click. Subroutine The Runner loses 1 credit for each rezzed piece of harmonic ice. Subroutine End the run unless the Runner spends click.",Faction Common
Hafrun,jinteki,1467.0,2,Barrier - Code Gate,"When you rez this ice during a run against this server, you may trash 1 card from HQ. If you do, choose 1 installed Runner card. That cards abilities cannot break subroutines for the remainder of that run. Subroutine End the run.",Common
Vampyronassa,jinteki,1591.0,3,Code Gate - AP,Subroutine The Runner loses 2 credits. Subroutine Gain 2 credits. Subroutine Do 2 net damage. Subroutine You may draw 1 or 2 cards.,Faction Common
Klevetnik,nbn,1383.0,3,Barrier,"When you rez this ice during a run against this server, you may have the Runner gain 2 credits. If you do, choose 1 installed resource. That resource loses all abilities until your next turn ends. Subroutine End the run.",Faction Common
Unsmiling Tsarevna,nbn,1559.0,2,Sentry - AP,"When you rez this ice during a run against this server, you may have the Runner gain 2 credits. If you do, during each encounter with this ice for the remainder of that run, the Runner cannot break more than 1 of its printed subroutines. Subroutine Give the Runner 1 tag. Subroutine Do 2 net damage. Subroutine You may draw 2 cards.",Common
Anvil,weyland-consortium,1595.0,2,Code Gate,"When the Runner encounters this ice, you may trash 1 of your other installed cards. If you do, the Runner cannot break this ice's printed subroutines for the remainder of this encounter. Subroutine Gain 1 credit. The Runner loses 1 credit. Subroutine The Runner trashes 1 of their installed cards.",Common
